provider_id	total_revenue_gap	total_discharges	gap_per_discharge	weighted_efficiency
310051	397413957.00	4722	84162.210292	0.141760
330141	395674806.00	2754	143672.769063	0.097196
340047	393626661.00	4900	80331.971633	0.197417
110010	393052521.00	4204	93494.890818	0.225842
100038	392909585.00	2943	133506.484879	0.114322
370001	392287509.00	3580	109577.516480	0.114597
250019	391147172.00	3328	117532.203125	0.078104
100179	382982623.00	2394	159976.032999	0.074177
50116	379338511.00	2349	161489.361856	0.105748
450820	378933687.00	4589	82574.348878	0.123033
390046	378212371.00	5978	63267.375544	0.201555
50334	373813399.00	3096	120740.761951	0.136646
60031	373089733.00	4192	89000.413406	0.132459
390001	373069379.00	3802	98124.507891	0.101992
340040	371857404.00	8906	41753.582304	0.260182
50570	371744995.00	1876	198158.312900	0.075271
190111	370406431.00	7703	48085.996495	0.177222
670055	367713341.00	3536	103991.329468	0.089411
290021	366674748.00	1728	212196.034722	0.063817
50360	366452944.00	2584	141816.154799	0.114330
310108	366372055.00	4094	89489.998779	0.138792
50348	366287739.00	3591	102001.598162	0.213987
390231	364572545.00	7996	45594.365308	0.221578
50231	364415542.00	2061	176814.916060	0.093981
40114	364232293.00	5858	62176.902185	0.179936
110036	362821737.00	4138	87680.458434	0.144898
100256	362784545.00	2338	155168.753208	0.076414
330158	361920623.00	3331	108652.243470	0.108453
50557	360261706.00	4409	81710.525289	0.165706
20017	359730910.00	1881	191244.502924	0.092071
60112	359728753.00	1717	209510.048340	0.070918
290046	359217673.00	1933	185834.285049	0.069530
100173	358206810.00	3455	103677.803184	0.107592
330045	357847100.00	6139	58290.780257	0.176960
160082	355115485.00	7252	48967.937810	0.182283
500108	354433071.00	2791	126991.426370	0.126636
230269	354143843.00	8645	40965.164025	0.180567
100243	354061391.00	2691	131572.423263	0.084323
140223	353951677.00	6253	56605.097873	0.212633
150082	352287080.00	10089	34917.938349	0.237883
490048	350604181.00	3823	91709.176301	0.101928
330270	350375544.00	2845	123154.848506	0.172867
450056	349827987.00	2098	166743.559104	0.103861
100260	349025746.00	2848	122551.174860	0.069355
100248	344942927.00	1936	178172.999483	0.089508
310048	343117901.00	3607	95125.561686	0.095667
100231	342236510.00	3295	103865.405159	0.084763
160083	341713453.00	4927	69355.277654	0.168851
50485	340714583.00	2098	162399.705910	0.117474
100176	339431151.00	2367	143401.415716	0.063692
430027	337898187.00	5463	61852.130148	0.181708
100127	337371625.00	5820	57967.633162	0.164261
140116	337142431.00	6592	51144.179460	0.176010
50017	337009036.00	2229	151192.927770	0.133094
310092	335335029.00	897	373840.612040	0.037725
140231	335312025.00	5660	59242.407244	0.148659
50567	335056055.00	3824	87619.261245	0.156395
190026	334948894.00	2647	126539.060824	0.091509
150162	331345000.00	4860	68177.983539	0.163487
420051	330549531.00	5775	57238.014026	0.163532
330013	330402277.00	5869	56296.179417	0.252332
100022	328979875.00	4360	75454.099771	0.266622
50112	328756785.00	3260	100845.639571	0.198631
50516	328688731.00	3362	97765.833135	0.147583
330126	327231608.00	5541	59056.417253	0.187229
500024	327098283.00	3715	88047.990040	0.161194
450107	326487972.00	1873	174312.852109	0.073700
450788	324476591.00	2180	148842.472936	0.075383
390153	323489777.00	4316	74951.292169	0.118097
110087	322945329.00	3745	86233.732710	0.165230
